Organization,Followed On
aiGrunn,Sun Nov 16 21:50:32 UTC 2025
Accolade Zorg,Fri Sep 19 11:59:05 UTC 2025
Health~Holland,Tue Jul 01 10:50:44 UTC 2025
NAIDATA,Mon Jun 30 16:32:51 UTC 2025
Werk&Mantelzorg,Thu Mar 06 13:44:58 UTC 2025
MantelzorgNL,Thu Mar 06 13:44:55 UTC 2025
Stichting Mantelzorgelijk,Thu Mar 06 13:44:53 UTC 2025
SEIN - Expertisecentrum voor epilepsie en slaapgeneeskunde,Wed Jan 22 08:28:31 UTC 2025
Sensing Clues,Sat Oct 19 22:19:41 UTC 2024
Pervasive Systems,Sat Oct 19 12:21:44 UTC 2024
KVK Innovatie Top 100,Thu Sep 12 09:40:29 UTC 2024
Ontzorgpaden,Tue Jul 30 21:40:00 UTC 2024
Gezonde Marke,Tue Jul 16 19:35:37 UTC 2024
Impact Noord,Tue Jul 16 19:35:34 UTC 2024
Interzorg Noord Nederland,Tue Jul 16 19:35:32 UTC 2024
DEEL Academy,Sun Mar 24 10:15:53 UTC 2024
Care about IT,Mon Mar 18 18:12:52 UTC 2024
LlamaIndex,Mon Mar 04 21:17:26 UTC 2024
Anthropic,Mon Mar 04 21:17:23 UTC 2024
Universitair Netwerk Ouderenzorg UMCG (UNO-UMCG),Fri Jan 19 18:15:19 UTC 2024
LangChain,Thu Jan 18 17:45:08 UTC 2024
Mistral AI,Tue Jan 09 19:10:16 UTC 2024
TechHub Assen,Sat Nov 18 08:44:36 UTC 2023
Generative AI,Thu Nov 16 17:18:07 UTC 2023
Ik Ben Drents Ondernemer,Thu Nov 16 17:17:52 UTC 2023
AI ACT 4 Health,Thu Nov 16 17:14:33 UTC 2023
Anders Werken in de Zorg,Wed Nov 15 14:30:22 UTC 2023
ASTRON,Wed Nov 08 20:08:35 UTC 2023
IEEE Radar Conference,Fri Sep 29 10:58:49 UTC 2023
ZINN (Zorgorganisatie in Noord Nederland),Mon Aug 07 19:57:19 UTC 2023
Zorgvisie,Wed Jul 19 18:33:59 UTC 2023
NNCZ,Wed Jul 19 18:33:51 UTC 2023
Ad Sociaal Werk NHL Stenden Hogeschool,Thu Jul 13 13:34:45 UTC 2023
Biblionet Drenthe,Tue Jul 11 08:29:54 UTC 2023
ActiZ,Mon Jul 10 07:23:43 UTC 2023
Hi!Noord,Tue Jun 27 20:44:35 UTC 2023
MIT Technology Review,Thu May 11 17:59:10 UTC 2023
AI Community,Thu May 11 17:59:05 UTC 2023
OpenAI,Thu May 11 17:59:03 UTC 2023
Hugging Face,Mon Apr 24 06:21:42 UTC 2023
Espria Ledenvereniging,Wed Apr 19 11:49:33 UTC 2023
TZA Drenthe - Groningen (Technologie & Zorg Academie),Tue Apr 18 20:24:15 UTC 2023
Hulzebosch Beveiliging,Fri Mar 03 21:12:28 UTC 2023
Acanthis,Wed Feb 22 07:23:11 UTC 2023
Provincie Drenthe,Sat Jan 28 16:37:12 UTC 2023
Texas Instruments,Wed Jan 18 19:26:06 UTC 2023
NXP Semiconductors,Wed Jan 18 19:26:03 UTC 2023
NVNOM,Wed Jan 18 19:19:48 UTC 2023
IMPLICAN B.V.,Tue Jan 17 14:05:32 UTC 2023
Valtes,Tue Dec 20 18:48:18 UTC 2022
PyTorch,Tue Nov 08 22:30:21 UTC 2022
Massachusetts Institute of Technology,Tue Nov 08 22:30:20 UTC 2022
DeepAI,Tue Nov 08 22:30:18 UTC 2022
AI at Meta,Tue Nov 08 22:30:17 UTC 2022
Nederlandse AI Coalitie | NL AIC,Thu Aug 25 12:53:05 UTC 2022
Automation Xperience,Mon Jun 06 16:49:24 UTC 2022
AI-hub Noord-Nederland,Wed May 25 07:37:52 UTC 2022
Samenwerking Noord,Sat Apr 30 05:20:31 UTC 2022
Computer Vision & Data Science,Thu Sep 02 13:21:43 UTC 2021
DeepLearning.AI,Wed Nov 25 17:28:16 UTC 2020
Towards Data Science,Wed Nov 25 17:28:14 UTC 2020
Google DeepMind,Wed Nov 25 17:28:11 UTC 2020
NVIDIA AI,Wed Nov 25 17:28:07 UTC 2020
Lalaland.ai (acquired by Browzwear),Sat Nov 14 20:50:29 UTC 2020
Target Holding - We are now Slimmer AI!,Fri Nov 13 23:02:10 UTC 2020
ZiuZ Visual Intelligence,Fri Nov 13 21:31:37 UTC 2020
HIKVISION Europe,Mon May 27 07:08:37 UTC 2019
Red Bull Racing & Red Bull Technology,Thu Nov 30 20:31:25 UTC 2017
Amber,Thu Jul 13 13:54:14 UTC 2017
Hogeschool Drenthe,Tue Dec 06 09:14:04 UTC 2016
Delft University of Technology,Wed Sep 17 07:12:46 UTC 2014
DySI,Tue Jan 25 09:46:39 UTC 2011
Dacolian B.V.,Fri Mar 16 07:51:24 UTC 2012
